,Model,Num_Layers,AdaEdge,RemovalRate,AdditionRate,MAD,MADGap,MADReg,Accuracy,Energy
63,GraphSAGE,2,True,0.0006 ± 0.0000,0.2073 ± 0.0087,0.0002 ± 0.0001,0.0001 ± 0.0000,0.01,0.6874 ± 0.0725,0.45156432390213014
64,GraphSAGE,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0005 ± 0.0004,0.0002 ± 0.0002,0.1,0.6354 ± 0.1598,0.4901111900806427
65,GraphSAGE,2,True,0.0006 ± 0.0001,0.2108 ± 0.0220,0.0002 ± 0.0001,0.0001 ± 0.0000,0.1,0.7380 ± 0.0401,0.5291264891624451
66,GraphSAGE,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.6102 ± 0.1593,0.11303794533014297
67,GraphSAGE,3,True,0.0005 ± 0.0001,0.2262 ± 0.0158,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.4754 ± 0.2060,0.10801249146461486
68,GraphSAGE,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.6984 ± 0.0305,0.10686703473329544
69,GraphSAGE,3,True,0.0005 ± 0.0001,0.2309 ± 0.0203,0.0001 ± 0.0000,0.0000 ± 0.0000,0.01,0.6772 ± 0.1190,0.13893197774887084
70,GraphSAGE,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.7172 ± 0.0585,0.13112243115901948
71,GraphSAGE,3,True,0.0005 ± 0.0000,0.2436 ± 0.0314,0.0001 ± 0.0000,0.0000 ± 0.0000,0.1,0.4148 ± 0.0931,0.14668373465538026
72,GraphSAGE,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.3294 ± 0.1088,0.032426107116043566
73,GraphSAGE,4,True,0.0003 ± 0.0000,0.3457 ± 0.0204,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.4630 ± 0.1803,0.022621283121407033
74,GraphSAGE,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.4786 ± 0.2210,0.026651312503963707
75,GraphSAGE,4,True,0.0004 ± 0.0001,0.3180 ± 0.0672,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.4434 ± 0.1509,0.02681134846061468
76,GraphSAGE,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.2568 ± 0.0745,0.0231160931289196
77,GraphSAGE,4,True,0.0002 ± 0.0001,0.3594 ± 0.0537,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.4544 ± 0.1592,0.020022176578640936
78,GraphSAGE,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.3248 ± 0.1564,0.009158839005976915
79,GraphSAGE,5,True,0.0002 ± 0.0001,0.3062 ± 0.1236,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.2588 ± 0.0547,0.008363975747488438
80,GraphSAGE,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.2820 ± 0.1251,0.003242833842523396
81,GraphSAGE,5,True,0.0002 ± 0.0000,0.4291 ± 0.0311,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.2562 ± 0.1038,0.00863116318359971
82,GraphSAGE,5,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.3056 ± 0.1659,0.008978054393082857
83,GraphSAGE,5,True,0.0002 ± 0.0002,0.3936 ± 0.0972,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.1946 ± 0.0479,0.00742221474647522
84,GraphSAGE,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.2234 ± 0.0999,0.0011844985187053681
85,GraphSAGE,6,True,0.0001 ± 0.0000,0.4237 ± 0.1084,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0,0.1888 ± 0.0948,0.0005598903633654117
86,GraphSAGE,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.1878 ± 0.0643,0.00115768788382411
87,GraphSAGE,6,True,0.0001 ± 0.0001,0.3590 ± 0.1502,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01,0.2706 ± 0.0846,0.0009712996892631054
88,GraphSAGE,6,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.1990 ± 0.0480,0.002774288167711347
89,GraphSAGE,6,True,0.0001 ± 0.0001,0.3642 ± 0.1277,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1,0.1856 ± 0.0855,0.0022781136038247498
90,ChebNet,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.6021 ± 0.1049,0.1002 ± 0.0122,0.0,0.6916 ± 0.0176,94.65442199707032
91,ChebNet,2,True,0.0006 ± 0.0000,0.1993 ± 0.0000,0.4717 ± 0.1612,0.0988 ± 0.0271,0.0,0.7104 ± 0.0281,119.82542724609375
92,ChebNet,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.6583 ± 0.1129,0.1046 ± 0.0174,0.01,0.6802 ± 0.0228,88.66202087402344
93,ChebNet,2,True,0.0006 ± 0.0000,0.1993 ± 0.0000,0.6367 ± 0.1223,0.1029 ± 0.0054,0.01,0.6906 ± 0.0319,91.7524658203125
94,ChebNet,2,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.6138 ± 0.0822,0.1223 ± 0.0167,0.1,0.6980 ± 0.0311,94.79704895019532
95,ChebNet,2,True,0.0006 ± 0.0000,0.1993 ± 0.0000,0.4964 ± 0.0606,0.0894 ± 0.0223,0.1,0.6900 ± 0.0349,128.01044311523438
96,ChebNet,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.3385 ± 0.0568,0.0760 ± 0.0043,0.0,0.6924 ± 0.0489,235.46732177734376
97,ChebNet,3,True,0.0006 ± 0.0000,0.1993 ± 0.0000,0.4322 ± 0.1916,0.1019 ± 0.0281,0.0,0.6852 ± 0.0503,214.49811859130858
98,ChebNet,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4261 ± 0.1845,0.1017 ± 0.0353,0.01,0.6498 ± 0.0530,191.29388122558595
99,ChebNet,3,True,0.0006 ± 0.0000,0.1993 ± 0.0000,0.3555 ± 0.2095,0.0731 ± 0.0234,0.01,0.6622 ± 0.0537,309.08179931640626
100,ChebNet,3,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.3196 ± 0.1292,0.0909 ± 0.0355,0.1,0.7078 ± 0.0367,246.62369689941406
101,ChebNet,3,True,0.0006 ± 0.0000,0.1993 ± 0.0000,0.4189 ± 0.1060,0.0882 ± 0.0197,0.1,0.7026 ± 0.0681,182.05592346191406
102,ChebNet,4,False,0.0000 ± 0.0000,0.0000 ± 0.0000,0.3998 ± 0.0469,0.1110 ± 0.0619,0.0,0.5912 ± 0.0933,165.8658203125
